product_id,url,product_name,brand,price,tier,weight_g,length_mm,width_mm,height_mm,feet_material,sensor_model,max_dpi,max_ips,max_acceleration_g,max_polling_rate,switch_type,connectivity,battery_max_hours,charging_port,is_rechargeable,button_count,is_gaming,hand_orientation,avg_rating,total_reviews,key_pros,key_cons,has_rgb,color,is_silent,switch_brand,has_multi_pairing,grip_type,housing_design,reviews
17673140,https://prod.danawa.com/info/?pcode=17673140&cate=112787,Razer DeathAdder V3 Pro,Razer,149000,C_reviews_only,70,128,,44,,Focus Pro 30K,,,70,,기계식,유선+무선,,,Y,,N,오른손잡이용,4.68,31,"경량,클릭감,손목편안함",휠 굴리면 휠이 자꾸 반대로 튀어서 불편함문의 해도 씹고 답이 없음,N,,N,Razer,N,팜그립,,[긍정] 라지 사이즈 (손목부터 중지 끝까지 19.5cm) 손 보유자에 팜그립 유저로서 사무실에서 로지텍 MX Master 3S 를 만족하면서 쓰다가 집에서는 게임도 해야 하니 게임용으로 좋은 제품 원픽으로 찜해 놓고 기회만 엿보다 드디어 구매경쟁 제품인 로지택 지슈라보다 훨씬 고급스러운 외관에 그립 만족도 최상이고 무게도 너무 가벼워서 놀람 (아무래도 회사에서 M [부정] 휠 굴리면 휠이 자꾸 반대로 튀어서 불편함문의 해도 씹고 답이 없음
17673209,https://prod.danawa.com/info/?pcode=17673209&cate=112787,Razer DeathAdder V3 Pro White Edition,Razer,149000,A_complete,63,128,68,44,PTFE,"Focus Pro 30K Optical Sensor
-",30000,750,70,4000,광학,"유선,2.4GHz무선",1000,USB-C,Y,5,Y,오른손잡이용,4.88,40,"배터리,무선안정성",,N,화이트,N,Razer광학,N,,"대칭형,에르고",[긍정] 배송은 무난하게 이틀만에 왔구요나름 할인받아서 샀는데 10만원 극 후반대.. 성능도 더 좋다는 유선살까했는데 흰색유선이 없어서 그냥 무선 샀습니다어차피 한번 주고 오래쓸꺼 비싼거 사실분들은 나쁘지않은 것 같아요지슈라? 도 유명하던데 기존에 쓰던 로지텍 g102가 좀 작기도하고 손에 안맞는 느낌이라 비대칭 마우스 선택했는데 만족합니다
17024780,https://prod.danawa.com/info/?pcode=17024780&cate=112787,Razer Viper V2 PRO Black,Razer,149000,A_complete,58,126.7,,37.8,PTFE,"Focus Pro 30K Optical Sensor
-",30000,750,70,1000,광학,"유선,2.4GHz무선",1000,USB-C,Y,5,Y,오른손잡이용,4.69,16,"에임정확도,무선안정성,클릭감",어떻게 뽁뽁이 하나 안감아주고 달랑 제품 박스 안에 넣고 보내주시나요? 정말 팔고 싶은 마음이 있으시긴 하신건지 할 말이 없네요. 뭐 중고거래도 이렇게 보내면 바로 환불해달라고 합,N,블랙,N,Razer광학,N,,대칭형,"[긍정] 일단 배송 상태는 굉장히 좋지 않습니다.기름 종이 같은걸 싸놓고 박스 안에 그대로 넣어서 배송 시켜주는 시스템입니다.2번째 사진 우상단 좌하단에 구겨진거 확인해주시고요세번째 사진은 박스 열자마자 찍은 사진입니다. 세월의 흔적이 있어서 그런가 박스 외부, 내부에도 먼지도 그대로 들어있습니다.2022년 3월 제품입니다. 레이저 AS는 워낙 만족도가 높은 회사다 [부정] 어떻게 뽁뽁이 하나 안감아주고 달랑 제품 박스 안에 넣고 보내주시나요? 정말 팔고 싶은 마음이 있으시긴 하신건지 할 말이 없네요. 뭐 중고거래도 이렇게 보내면 바로 환불해달라고 합니다. 당장 사용해야해서 그냥 사용하겠습니다만 다음에도 이런 식으로 보내시면 여기 상점에서 특가로 최저가로 팔든 뭐하든 여기서는 다시 안살 생각입니다."
122627307,https://prod.danawa.com/info/?pcode=122627307&cate=112787,Pulsar X3 CrazyLight 미디움 무선,Pulsar,149000,D_metadata_only,,124.7,,43.1,,,,43,,8000,기계식,무선,,,Y,,N,오른손잡이용,,,,,N,,N,,N,,,
103878176,https://prod.danawa.com/info/?pcode=103878176&cate=112787,Pulsar X2H CrazyLight 미디움 무선,Pulsar,149000,B_detail_only,43,120.4,,39,,,32000,750,50,8000,광학,무선,1000,USB-C,Y,,Y,양손,,16,,,N,,N,TTC,N,클로그립,"대칭형,에르고",
17158853,https://prod.danawa.com/info/?pcode=17158853&cate=112787,스틸시리즈 Aerox 3 Wireless ONYX,스틸시리즈,149000,D_metadata_only,,120.55,,37.98,,TrueMove Air,,,,1000,기계식,무선,,,Y,,Y,오른손잡이용,,,,,N,,N,,N,,,
15707186,https://prod.danawa.com/info/?pcode=15707186&cate=112787,스틸시리즈 Aerox 3 Wireless Ghost,스틸시리즈,149000,D_metadata_only,,120.55,,37.98,,"120.55mm
-",,,,1000,기계식,무선,,,Y,,N,오른손잡이용,,,,,N,,N,,N,,,
89529548,https://prod.danawa.com/info/?pcode=89529548&cate=112787,HyperX Pulsefire Saga Pro 무선,HyperX,149260,D_metadata_only,50,119.7,,39.8,,,,,50,,기계식,무선,,,Y,,Y,,,,,,N,,N,,N,,,
18453749,https://prod.danawa.com/info/?pcode=18453749&cate=112787,Razer Basilisk V3 Pro White Edition,Razer,149460,A_complete,112,130.4,,42.8,,---,,,70,4000,광학,"유선,2.4GHz무선,블루투스",1000,USB-C,Y,,Y,오른손잡이용,4.75,4,"디자인,가성비",,Y,화이트,N,Razer광학,Y,,에르고,[긍정] 영롱합니다. 영상편집용으로 묵직하니 딱이네요
39904625,https://prod.danawa.com/info/?pcode=39904625&cate=112787,CORSAIR M75 RGB 초경량 유무선 게이밍,CORSAIR,149890,C_reviews_only,,128,,42,,MARKSMAN,,2000,,2000,,유선+무선,,,,,Y,오른손잡이용,5,1,,,Y,,N,,Y,,,[긍정] 커세어 화이트 컨셉을 위해 또 쟁여놓으려고 무지성 구매네요 ㅠㅠ 잘 쓸게요~~
